Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
NULL	bison_bison_bison	american_bison	artiodactyla	3	11
NULL	sus_scrofa	wild_boar	artiodactyla	2	11
SPAM1	camelus_dromedarius	arabian_camel	artiodactyla	2	11
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	11
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	11
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
SPAM1	sus_scrofa	wild_boar	artiodactyla	2	11
NULL	canis_lupus_dingo	dingo	carnivora	2	18
SPAM1	panthera_leo	lion	carnivora	2	18
SPAM1	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
SPAM1	canis_lupus_dingo	dingo	carnivora	2	18
SPAM1	felis_catus	domestic_cat	carnivora	1	18
NULL	lynx_canadensis	canadian_lynx	carnivora	2	18
SPAM1	vulpes_vulpes	red_fox	carnivora	2	18
NULL	ursus_maritimus	polar_bear	carnivora	2	18
NULL	panthera_pardus	leopard	carnivora	2	18
NULL	vulpes_vulpes	red_fox	carnivora	2	18
SPAM1	panthera_pardus	leopard	carnivora	2	18
NULL	panthera_leo	lion	carnivora	2	18
SPAM1	zalophus_californianus	cali_sea_lion	carnivora	2	18
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	18
SPAM1	canis_lupus_familiaris	domestic_dog	carnivora	1	18
SPAM1	ursus_maritimus	polar_bear	carnivora	2	18
SPAM1	lynx_canadensis	canadian_lynx	carnivora	2	18
SPAM1	delphinapterus_leucas	beluga_whale	cetacea	1	1
SPAM1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
NULL	sorex_araneus	european_shrew	eulipotyphyla	3	6
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
SPAM1	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
SPAM1	ochotona_princeps	american_pika	lagomorpha	1	3
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
NULL	equus_caballus	domestic_horse	perissodactyla	2	3
NULL	equus_asinus_asinus	donkey	perissodactyla	1	3
SPAM1	equus_caballus	domestic_horse	perissodactyla	2	3
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
SPAM1	aotus_nancymaae	mas_night_monkey	primates	1	10
SPAM1	macaca_fascicularis	crab_eating_macaque	primates	1	10
SPAM1	carlito_syrichta	philippine_tarsier	primates	1	10
SPAM1	gorilla_gorilla	gorilla	primates	1	10
SPAM1	cercocebus_atys	sooty_mangabey	primates	1	10
SPAM1	nomascus_leucogenys	gibbon	primates	1	10
SPAM1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
SPAM1	mandrillus_leucophaeus	drill	primates	1	10
SPAM1	pan_troglodytes	chimpanzee	primates	1	10
SPAM1	papio_anubis	olive_baboon	primates	1	10
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
SPAM1	octodon_degus	degu	rodentia	1	23
Spam1	rattus_norvegicus	norway_rat	rodentia	3	23
SPAM1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	23
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
Hyal6	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
Hyal6	rattus_norvegicus	norway_rat	rodentia	3	23
Hyal5	mus_spicilegus	steppe_mouse	rodentia	3	23
Spam1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	23
Hyal5	rattus_norvegicus	norway_rat	rodentia	3	23
Spam1	mus_spicilegus	steppe_mouse	rodentia	3	23
Spam1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
Hyal5	mus_musculus	house_mouse	rodentia	3	23
NULL	castor_canadensis	american_beaver	rodentia	3	23
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	23
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	23
Hyal5	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	23
Hyal6	mus_musculus	house_mouse	rodentia	3	23
Hyal6	mus_spicilegus	steppe_mouse	rodentia	3	23
Spam1	mus_musculus	house_mouse	rodentia	3	23
Hyal5	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
