Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
AHSG	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
FETUB	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
HRG	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
FETUB	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
KNG1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
KNG1	camelus_dromedarius	arabian_camel	artiodactyla	4	20
KNG1	sus_scrofa	wild_boar	artiodactyla	4	20
HRG	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
AHSG	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
AHSG	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
AHSG	camelus_dromedarius	arabian_camel	artiodactyla	4	20
FETUB	bison_bison_bison	american_bison	artiodactyla	4	20
HRG	camelus_dromedarius	arabian_camel	artiodactyla	4	20
FETUB	camelus_dromedarius	arabian_camel	artiodactyla	4	20
HRG	sus_scrofa	wild_boar	artiodactyla	4	20
FETUB	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
AHSG	sus_scrofa	wild_boar	artiodactyla	4	20
HRG	bison_bison_bison	american_bison	artiodactyla	4	20
HRG	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
FETUB	sus_scrofa	wild_boar	artiodactyla	4	20
KNG1	bison_bison_bison	american_bison	artiodactyla	4	20
KNG1	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
AHSG	bison_bison_bison	american_bison	artiodactyla	4	20
KNG1	lynx_canadensis	canadian_lynx	carnivora	3	38
AHSG	ailuropoda_melanoleuca	giant_panda	carnivora	4	38
AHSG	panthera_pardus	leopard	carnivora	4	38
HRG	ailuropoda_melanoleuca	giant_panda	carnivora	4	38
KNG1	zalophus_californianus	cali_sea_lion	carnivora	4	38
FETUB	panthera_pardus	leopard	carnivora	4	38
NULL	canis_lupus_dingo	dingo	carnivora	4	38
KNG1	panthera_leo	lion	carnivora	4	38
FETUB	felis_catus	domestic_cat	carnivora	4	38
KNG1	ursus_maritimus	polar_bear	carnivora	4	38
FETUB	zalophus_californianus	cali_sea_lion	carnivora	4	38
AHSG	canis_lupus_familiaris	domestic_dog	carnivora	4	38
NULL	vulpes_vulpes	red_fox	carnivora	3	38
FETUB	ailuropoda_melanoleuca	giant_panda	carnivora	4	38
FETUB	ursus_maritimus	polar_bear	carnivora	4	38
KNG1	canis_lupus_familiaris	domestic_dog	carnivora	4	38
HRG	felis_catus	domestic_cat	carnivora	4	38
AHSG	lynx_canadensis	canadian_lynx	carnivora	3	38
KNG1	ailuropoda_melanoleuca	giant_panda	carnivora	4	38
HRG	ursus_maritimus	polar_bear	carnivora	4	38
KNG1	felis_catus	domestic_cat	carnivora	4	38
AHSG	panthera_leo	lion	carnivora	4	38
FETUB	lynx_canadensis	canadian_lynx	carnivora	3	38
HRG	canis_lupus_familiaris	domestic_dog	carnivora	4	38
FETUB	canis_lupus_familiaris	domestic_dog	carnivora	4	38
AHSG	ursus_maritimus	polar_bear	carnivora	4	38
AHSG	vulpes_vulpes	red_fox	carnivora	3	38
HRG	zalophus_californianus	cali_sea_lion	carnivora	4	38
KNG1	panthera_pardus	leopard	carnivora	4	38
FETUB	panthera_leo	lion	carnivora	4	38
