Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
HMGCS2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
HMGCS1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
HMGCS1	camelus_dromedarius	arabian_camel	artiodactyla	2	10
HMGCS1	sus_scrofa	wild_boar	artiodactyla	2	10
HMGCS1	bison_bison_bison	american_bison	artiodactyla	2	10
HMGCS2	camelus_dromedarius	arabian_camel	artiodactyla	2	10
HMGCS1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
HMGCS1	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
HMGCS2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
HMGCS2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
HMGCS2	sus_scrofa	wild_boar	artiodactyla	2	10
HMGCS2	bison_bison_bison	american_bison	artiodactyla	2	10
HMGCS2	panthera_leo	lion	carnivora	2	20
HMGCS1	panthera_pardus	leopard	carnivora	2	20
HMGCS2	ailuropoda_melanoleuca	giant_panda	carnivora	2	20
HMGCS2	canis_lupus_dingo	dingo	carnivora	2	20
HMGCS1	canis_lupus_familiaris	domestic_dog	carnivora	2	20
HMGCS2	canis_lupus_familiaris	domestic_dog	carnivora	2	20
HMGCS1	zalophus_californianus	cali_sea_lion	carnivora	2	20
HMGCS2	felis_catus	domestic_cat	carnivora	2	20
HMGCS1	canis_lupus_dingo	dingo	carnivora	2	20
HMGCS2	zalophus_californianus	cali_sea_lion	carnivora	2	20
HMGCS1	panthera_leo	lion	carnivora	2	20
HMGCS1	lynx_canadensis	canadian_lynx	carnivora	2	20
HMGCS2	lynx_canadensis	canadian_lynx	carnivora	2	20
HMGCS1	felis_catus	domestic_cat	carnivora	2	20
HMGCS1	ursus_maritimus	polar_bear	carnivora	2	20
HMGCS2	ursus_maritimus	polar_bear	carnivora	2	20
HMGCS2	vulpes_vulpes	red_fox	carnivora	2	20
HMGCS1	ailuropoda_melanoleuca	giant_panda	carnivora	2	20
HMGCS2	panthera_pardus	leopard	carnivora	2	20
